VENUE,DIMENSION (IN METERS),FLOOR AREA (IN SQ. METERS),CONFERENCE CAPACITY,THEATER,CLASSROOM,U-SHAPE,BLOCK,BANQUET,COCKTAIL,hotel_wing,display_version,source_url,date_collected
SAMPAGUITA BALLROOM,30.77 X 18.70,3.9,575.4,120.0,80.0,30.0,30.0,100.0,100.0,Mountain Wing,Mobile,https://www.taalvistahotel.com/events/,2026-09-02
SAMPAGUITA FOYER,15.30 X 4.60,3.88,70.38,,,,,,30.0,Mountain Wing,Mobile,https://www.taalvistahotel.com/events/,2026-09-02
LOWER LEVEL FOYER,22.20 X 5.45,3.4,120.996,60.0,,,,30.0,30.0,Mountain Wing,Mobile,https://www.taalvistahotel.com/events/,2026-09-02
WALING-WALING 1,7.60 X 7.10,3.25,53.96,24.0,16.0,13.0,14.0,15.0,15.0,Mountain Wing,Mobile,https://www.taalvistahotel.com/events/,2026-09-02
WALING-WALING 2,7.40 X 7.10,3.25,52.54,24.0,16.0,13.0,14.0,15.0,15.0,Mountain Wing,Mobile,https://www.taalvistahotel.com/events/,2026-09-02
ROSAL 1,9.65 X 7.95,3.2,76.72,24.0,16.0,13.0,14.0,15.0,15.0,Mountain Wing,Mobile,https://www.taalvistahotel.com/events/,2026-09-02
ROSAL 2,7.60 X 7.95,3.2,60.42,24.0,16.0,13.0,14.0,15.0,15.0,Mountain Wing,Mobile,https://www.taalvistahotel.com/events/,2026-09-02
GUMAMELA,8.40 X 5.00,3.2,42.0,,,,7.0,,,Mountain Wing,Mobile,https://www.taalvistahotel.com/events/,2026-09-02
JASMIN,7.70 X 5.15,3.5,39.66,16.0,12.0,10.0,10.0,10.0,10.0,Mountain Wing,Mobile,https://www.taalvistahotel.com/events/,2026-09-02
