wedding_rate_record_id,package_category,package_name,menu_style,included_persons,package_price_php,excess_person_rate_php,source_page,currency,price_basis,verification_method,source_url,date_collected,package_price_eur,package_price_usd,excess_person_rate_eur,excess_person_rate_usd,fx_rate_date,fx_rate_source,fixed_ceremony_package
1,Reception,Rose Quartz,Buffet Menu,100.0,350000,2400.0,2,PHP,First 100 persons,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/08/Wedding-Packages.pdf,2026-09-02,4833.25,5595.94,33.14,38.37,2026-09-02,European Central Bank,False
2,Reception,Rose Quartz,Set Menu,100.0,360000,2500.0,2,PHP,First 100 persons,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/08/Wedding-Packages.pdf,2026-09-02,4971.35,5755.82,34.52,39.97,2026-09-02,European Central Bank,False
3,Reception,Blue Lace Agate,Buffet Menu,100.0,495000,2950.0,3,PHP,First 100 persons,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/08/Wedding-Packages.pdf,2026-09-02,6835.6,7914.26,40.74,47.17,2026-09-02,European Central Bank,False
4,Reception,Blue Lace Agate,Set Menu,100.0,498888,2980.0,3,PHP,First 100 persons,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/08/Wedding-Packages.pdf,2026-09-02,6889.29,7976.42,41.15,47.65,2026-09-02,European Central Bank,False
5,Reception,Lemon Quartz,Buffet Menu,100.0,685000,3200.0,4,PHP,First 100 persons,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/08/Wedding-Packages.pdf,2026-09-02,9459.37,10952.05,44.19,51.16,2026-09-02,European Central Bank,False
6,Reception,Lemon Quartz,Set Menu,100.0,690888,3300.0,4,PHP,First 100 persons,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/08/Wedding-Packages.pdf,2026-09-02,9540.68,11046.19,45.57,52.76,2026-09-02,European Central Bank,False
7,Reception,Green Jade,Buffet Menu,100.0,995000,3300.0,5,PHP,First 100 persons,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/08/Wedding-Packages.pdf,2026-09-02,13740.25,15908.46,45.57,52.76,2026-09-02,European Central Bank,False
8,Reception,Green Jade,Set Menu,100.0,1000000,3350.0,5,PHP,First 100 persons,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/08/Wedding-Packages.pdf,2026-09-02,13809.29,15988.4,46.26,53.56,2026-09-02,European Central Bank,False
9,Ceremony,Wedding Rites Package,Not applicable,,100000,,6,PHP,Fixed ceremony package,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/08/Wedding-Packages.pdf,2026-09-02,1380.93,1598.84,,,2026-09-02,European Central Bank,True
