menu_record_id,outlet_name,menu_category,item_name,package_detail,price_php,source_page,currency,tax_inclusive,menu_as_of_date,verification_method,source_url,date_collected,price_eur,price_usd,fx_rate_date,fx_rate_source
22,Pasalubong,Others,Coffee Tuile,Individual item,390,3,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02,5.39,6.24,2026-09-02,European Central Bank
23,Pasalubong,Others,Ground Coffee in Jute Bag,Individual item,400,3,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02,5.52,6.4,2026-09-02,European Central Bank
24,Pasalubong,Others,Tudor Bear Stuffed Toy,Individual item,380,3,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02,5.25,6.08,2026-09-02,European Central Bank
25,Pasalubong,Others,Chichapop (Sweet Corn),Individual item,220,3,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02,3.04,3.52,2026-09-02,European Central Bank
26,Pasalubong,Others,Chichapop (Cheese),Individual item,220,3,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02,3.04,3.52,2026-09-02,European Central Bank
27,Pasalubong,Others,Chichapop (Barbeque),Individual item,220,3,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02,3.04,3.52,2026-09-02,European Central Bank
28,Pasalubong,Others,Arrowroot,Individual item,420,3,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02,5.8,6.72,2026-09-02,European Central Bank
29,Pasalubong,Others,Peanut Cookies,Individual item,420,3,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02,5.8,6.72,2026-09-02,European Central Bank
30,Pasalubong,Others,Argellanas,Individual item,390,3,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02,5.39,6.24,2026-09-02,European Central Bank
31,Pasalubong,Others,Sunflower Seeds (Roasted),Individual item,190,3,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02,2.62,3.04,2026-09-02,European Central Bank
32,Pasalubong,Others,Banana Chips (Sweet),Individual item,180,3,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02,2.49,2.88,2026-09-02,European Central Bank
33,Pasalubong,Others,Banana Chips (Sugar-Free),Individual item,180,3,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02,2.49,2.88,2026-09-02,European Central Bank
34,Pasalubong,Others,Shing-A-Ling,Individual item,150,3,PHP,True,2026-08-18,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Pasalubong-menu-as-of-18-August-2026.pdf,2026-09-02,2.07,2.4,2026-09-02,European Central Bank
