christmas_package_record_id,campaign_name,package_name,package_price_php,guaranteed_persons,excess_person_rate_php,package_inclusions,source_page,currency,price_basis,venue_usage_hours,kids_rate_percent,kultura_discount_percent,early_bird_deadline,valid_until,tax_inclusive,verification_method,source_url,date_collected,package_price_eur,package_price_usd,excess_person_rate_eur,excess_person_rate_usd,fx_rate_date,fx_rate_source
1,Timeless Christmas Festivities,Classic Noel,39000,20,1800,"Lunch or dinner, platter or family style | Fresh Fruit Skewers Platter | One bottle of sparkling wine | One bottle of house wine | One Yuletide Goodies | Built in PA system | Three complimentary parking tickets",1,PHP,Guaranteed number of persons,5,50,10,2026-10-01,2027-01-07,True,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Holiday-Meeting-Package.pdf,2026-09-02,538.56,623.55,24.86,28.78,2026-09-02,European Central Bank
2,Timeless Christmas Festivities,Holiday Elegance,82000,35,2150,Buffet lunch or dinner | Assorted Cheese and Dried Fruit Board | One bottle of scotch | One bottle of vodka | One Yuletide Goodies | Videoke setup with built in PA system | Five complimentary parking tickets,1,PHP,Guaranteed number of persons,5,50,10,2026-10-01,2027-01-07,True,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Holiday-Meeting-Package.pdf,2026-09-02,1132.36,1311.05,29.69,34.38,2026-09-02,European Central Bank
3,Timeless Christmas Festivities,Festive Prestige,105000,50,2250,Buffet lunch or dinner | 20 pieces Mini Burger Tower | 20 pieces Chicken Satay | One Yuletide Goodies | One 15 liter light or pale beer keg | Waived corkage of one bottle of wine | Videoke setup with built in PA system | Six complimentary parking tickets,2,PHP,Guaranteed number of persons,5,50,10,2026-10-01,2027-01-07,True,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Holiday-Meeting-Package.pdf,2026-09-02,1449.98,1678.78,31.07,35.97,2026-09-02,European Central Bank
4,Timeless Christmas Festivities,Yuletide Collection,225000,100,2350,Buffet lunch or dinner | Four whole chickens for carving | One Yuletide Goodies | Ten bottles of house wine | One 15 liter light or pale beer keg | Basic mobile lights and sound system | 11 complimentary parking tickets,2,PHP,Guaranteed number of persons,5,50,10,2026-10-01,2027-01-07,True,OCR and visual verification,https://www.taalvistahotel.com/wp-content/uploads/2026/09/Holiday-Meeting-Package.pdf,2026-09-02,3107.09,3597.39,32.45,37.57,2026-09-02,European Central Bank
